name,acronym,address,city,state,phone,email,website,country,Affilated,Recorded By,Recorded Date
"""A' La"" Fencing Instruction",AFI,"10 Burgess Place Palm Coast, FL 32127, US",Palm Coast - FL,FL,(386) 793-3142,coacht@alafencing.net,http://www.alafencing.net,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
5T Fencers Club,5TFC,"63 East 2nd Street Mineola, NY 11501, US",Mineola - NY,NY,(516) 295-4148,5tfencersclub@gmail.com,http://5TFencersclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Abilene Sport Fencing,ASF,"1174 Butternut St Abilene, TX 79602, US",Abilene - TX,TX,(325) 660-9061,abilenefencer@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Academies Of Fencing In Baltimore,AOFIB,"1120 N Rolling Road Catonsville, MD 21228, US",Catonsville - MD,MD,(443) 804-1196,bj@twcfencing.com,http://www.twcfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Academy Of Fencing Masters,AFM) (AFM,"86 Railway Ave Campbell, CA 95008, US",Campbell - CA,CA,(408) 370-6419,irina@academyoffencingmasters.com,http://www.academyoffencingmasters.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Ace Fencing Academy,ACE,"29134 Roadside Dr., #102 Agoura Hills, CA 91301, US",Agoura Hills - CA,CA,(818) 853-2280,info@acefencingacademy.com,http://www.acefencingacademy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Advance Fencing Academy,Salle Stepien) (AFA-SS,"15706 Centennial Drive Orland Park, IL 60462, US",Orland Park - IL,IL,(708) 945-7766,marekstepien@yahoo.com,https://advancefencing.net,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Advance Fencing And Fitness Academy,AFFA,"110 South Avenue, Suite C. Garwood, NJ 07027, US",Garwood - NJ,NJ,(908) 290-5055,info@affafencing.com,http://www.affafencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
AIC  Fencing Club,AIC,"1333 Shepard Drive #G Sterling, Virginia 20164, US",Sterling - Vi,Vi,(571) 899-8242,info@aicfencing.com,http://www.aifencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
AK SE Fencers,AKSEF,"9247 Gee Street Juneau, AK 99801, US",Juneau - AK,AK,(907) 209-8143,thekarlmarx@cs.com,https://www.facebook.com/groups/510928919244983/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Alamo Fencing Academy,AlamoFA,"106 W. Rhapsody San Antonio, TX 78216, US",San Antonio - TX,TX,(210) 260-3804,afaoksana@gmail.com,http://www.alamofencing.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
All-American Fencing Academy,AAFA,"207 B Donaldson St. Fayetteville, NC 28301, US",Fayetteville - NC,NC,(910) 644-0137,info@allamericanfencing.com,http://www.allamericanfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Alle Fencing Club,AlleFencing,"7373 Davie Road Ext. Davie, FL 33024, US",Davie - FL,FL,(818) 635-7756,allefencingclub@gmail.com,http://www.allefencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Allegheny College Fencing Club,ALCG,"Highland Avenue, Wise Center Meadville, PA 16335, US",Meadville - PA,PA,(814) 332-3820,tnonnenm@allegheny.edu,http://tnonnenm.wix.com/alleghenyfencing,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Allegro Fencing Center,AFC,"101 Dupont Street #3 Plainview, New York 11803, US",Plainview - Ne,Ne,(347) 585-1970,info@allegrofencing.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Alliance Fencing Academy,AllianceFA,"1212A Cedar Post Lane Houston, TX 77055, US",Houston - TX,TX,(713) 410-6655,inform@alliance-fencing-academy.com,http://www.alliance-fencing-academy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Allstar Fencing Academy,ASFA,,,,(732) 500-5167,allstarfencingacademy@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Alvin Fencers Club,AlvinFencers,"309 W Sealy Street, City of Alvin Parks & Rec Alvin, TX 77511, US",Alvin - TX,TX,(281) 507-3564,john@trojanowski.com,https://texasfencing.wixsite.com/alvinfencers,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
American Fencing Academy Of Dayton,AFAD,"2900 Glengarry Dr, Kettering Recreation Complex Kettering, OH 45420, US",Kettering - OH,OH,(937) 878-3450,afadinc@gmail.com,http://www.daytonfencing.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
American Institute Of Fencing,AIFencing,"20 Meridian Rd #3, #3 Eatontown, NJ 07724, US",Eatontown - NJ,NJ,(732) 784-8622,info@aifencing.com,http://www.aifencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Anaheim Hills Fencers Club,AHFC,"8284 E Marblehead Way Anaheim Hills, CA 92808, US",Anaheim Hills - CA,CA,(562) 650-9966,awwong88@gmail.com,http://www.anaheimhillsfencers.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Anchorage Fencing Club,AFC,"4400 University Dr Anchorage, AK 99508, US",Anchorage - AK,AK,(907) 317-6345,anchoragefencingclub@gmail.com,http://www.anchoragefencingclub.net,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Ann Arbor Dueling Society,AADS,"49450 Cross St. Belleville, MI 48111, US",Belleville - MI,MI,(734) 483-4055,epeebill@gmail.com,http://www.facebook.com/AAdueling,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Apex Fencing Academy,ApexFencing,"504 E Williams Street Apex, NC 27502, US",Apex - NC,NC,(919) 271-1507,apexfencingacademy@gmail.com,https://www.apexfencing.net,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Appalachian State University Fencing Club,ASUFC,"536 Bodenheimer Drive Room 305 Boone, NC 28608, US",Boone - NC,NC,(973) 856-1773,appstatefencing@gmail.com,http://appstatefencing.wix.com/asufencing,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Aquinas Academy Fencing Club,AAFC,"2308 West Hardies Road Gibsonia, PA 15044, US",Gibsonia - PA,PA,(724) 601-1623,carrollfamily1@comcast.net,http://none,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Arena Fencing Academy LLC,AFA LLC,"152 Franklin Tnpk, Suite C Waldwick, NJ 07463, US",Waldwick - NJ,NJ,(857) 753-7705,arenafencing@gmail.com,http://arenafencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Arizona State University Fencing Club,ASU,"400 E Apache Blvd Tempe, AZ 85287, US",Tempe - AZ,AZ,(623) 203-0757,asufencing@gmail.com,http://www.asufencingclub.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Arsenal Fencing Club,ArsenalFC,"3550 Buford Highway Duluth, Georgia 30096, US",Duluth - Ge,Ge,(770) 756-7110,yinghao789@yahoo.com,http://www.arsenalfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
ArtDu Fencing,ArtDU,"20 Millburn Avenue Springfield, NJ 07081, US",Springfield - NJ,NJ,(908) 417-2957,info@artdufencing.com,http://artdufencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
ASER International Fencing Academy,AIFA,"880 West Church Road, Suite A Sterling, Virginia 20164, US",Sterling - Vi,Vi,(832) 762-0588,info@aserfencing.com,http://ASERfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Ataba Fencing Club,AtabaFC,"1010 Richards Road Hartland, WI 53029, US",Hartland - WI,WI,(262) 567-9627,abbas@leathertechnologies.com,https://www.atabafencingclub.com/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Athens Fencing Club,AthensFC,"3700 Atlanta Hwy Suite 212 Athens, GA 30606, US",Athens - GA,GA,(770) 713-1240,info@athensfencing.com,http://www.athensfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Athletic Training Fencing,ATFC,"C/O Edward J. Kaihatsu, 8201 Lowell Ave Skokie, IL 60076, US",Skokie - IL,IL,(847) 902-9448,ekaihatsu@gmail.com,https://www.ekmentoring.com/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Atlanta Fencers Club Foundation Inc.,AFCFI,"1021 Flamingo Drive Atlanta, GA 30311, US",Atlanta - GA,GA,(347) 661-4691,afcfoundation@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Atlantic Fencing Academy,AtlanticFA,"1 Sheila Dr. Tinton Falls, NJ 07724, US",Tinton Falls - NJ,NJ,(732) 674-0548,agota@atlanticfencing.com,http://www.atlanticfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Auburn Fencing Club,AuburnFC,"229 South 8th Street Opelika, AL 36801, US",Opelika - AL,AL,(334) 203-1989,administration@auburnfencing.com,http://auburnfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Augusta Fencers Club,AugustaFC,"464 Greene Street, Suite B Augusta, GA 30901, US",Augusta - GA,GA,(706) 722-8878,rvolk1@comcast.net,https://www.augustafencersclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Austin Fencers Club,AustinFC,"4425 Red River Street Austin, TX 78751, US",Austin - TX,TX,(512) 218-8848,cathy.mallet@gmail.com,http://www.austinfencersclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
"Avant Garde Fencers Club, Inc",CA) (AGFC) (AGFC (CA),"2209 Barry Ave Los Angeles, CA 90064, US",Los Angeles - CA,CA,(310) 473-8890,info@avantgarde.la,http://www.avantgarde.la,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Axis Fencing Club,AFC,"6943 Ellicott CT. Jurupa Valley, CA 91752, US",Jurupa Valley - CA,CA,(626) 531-4919,Heruifencing@gmail.com,https://www.axisfencing.com/,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
"Back Alley Fencing, Inc.",Back Alley,"34 E. Wautoma Beach Rd. Hilton, NY 14468, US",Hilton - NY,NY,(585) 392-3598,boncoeur@aol.com,http://backalleyfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Baker County Fencing Club,BCFC,"28 W Macclenny Avenue Macclenny, FL 32063, US",Macclenny - FL,FL,(904) 923-0790,bakercountyfencing@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Barrington Fencing Club,BarringtonFC,"647 Dundee Ave. Barrington, IL 60010, US",Barrington - IL,IL,(815) 353-2789,captqa@yahoo.com,http://www.barringtonfencing.club,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Battle Born Fencing Club,BattleBornFC,"1220 South Rainbow Blvd Las Vegas, NV 89146, US",Las Vegas - NV,NV,(702) 838-3320,coachleesy1530@gmail.com,http://www.bb-fc.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Bay Area Fencing Club,BAFC,"15445 Los Gatos Blvd. #100 Los Gatos, CA 95032, US",Los Gatos - CA,CA,(408) 868-8712,info@bayareafencing.club,http://www.bayareafencing.club,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Bay Regional Fencing Alliance,BayRegFA,"8390 Midland Rd. Freeland, MI 48623, US",Freeland - MI,MI,(989) 435-6022,bayregionalfencingalliance@gmail.com,http://bayregionalfencingalliance.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Baylor School,Baylor,"171 Baylor School Road Chattanooga, TN 37405, US",Chattanooga - TN,TN,(423) 265-4036,kavines@comcast.net,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Bayou City Fencing Academy,BayouCityFA,"4997 West Bellfort Ave, no apt # Houston, TX 77035, US",Houston - TX,TX,(832) 338-9808,deycohen@aol.com,http://myfencingacademy.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Bergen Fencing Club,BergenFC,"140 Hopper Ave Waldwick, NJ 07463, US",Waldwick - NJ,NJ,(917) 478-7431,keensabre66@aol.com,http://www.bergenfencingclub.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Berks Fencing Club,BerksFC,"330 Scenic Drive Reading 19607, US",Reading 19607 - US,US,(484) 638-3180,berksfencing@gmail.com,http://www.berksfencing.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Bethel Park Fencing Club,BethelParkFC,"5151 Park Ave Bethel Park, PA 15102, US",Bethel Park - PA,PA,(412) 608-3411,wromanias@gmail.com,http://www.bpfencing.net,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Beverly Hills Fencers' Club,BHFC,"12121 W Pico Bl Los Angeles, CA 90064, US",Los Angeles - CA,CA,(310) 204-0085,carla@bhfencers.org,http://www.bhfencers.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Big Red Fencers Club,BigRedFC,"Deer Park Junior High School, 410 E 9th Street Deer Park, TX 77536, US",Deer Park - TX,TX,(281) 507-3564,john@trojanowski.com,https://texasfencing.wixsite.com/bigredfencersclub,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Binghamton University Fencing Club,BU,"East Gym, PO BOx 6000 Binghamton, NY 13850, US",Binghamton - NY,NY,(607) 777-4259,binghamtonfencingclub@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Birmingham Fencing Club,BirminghamFC,"1581 Montgomery Highway, Suite 109 Hoover, AL 35216, US",Hoover - AL,AL,(205) 823-4448,info@fencingclub.com,http://www.fencingclub.org,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Black Hills Fencing Club,BlackHillsFC,"125 Waterloo Street Rapid City, SD 57701, US",Rapid City - SD,SD,(605) 923-8790,aanderson@blackhillsfencing.com,http://www.blackhillsfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Blacksburg Fencing Club,BFC,"205 Pine Drive Blacksburg, VA 74060, US",Blacksburg - VA,VA,(510) 235-1513,blacksburgfencingclub@gmail.com,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Blackstone Valley Fencing Academy,BVFA,"179 Front Street Woonsocket, RI 02896, US",Woonsocket - RI,RI,(401) 744-1106,bvfencing@verizon.net,http://www.bvfencing.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Blue Griffin Fencers,Santa Fe Prep) (BGF,"902 Circle Drive Los Alamos, New Mexico 87544, US",Los Alamos - Ne,Ne,(505) 661-3308,fencing@sfprep.org,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Blue Ridge Fencing Center,BlueRidgeFC,"3008 Berkmar Drive Charlottesville, VA 22901, US",Charlottesville - VA,VA,(540) 222-1710,fencingcoachsides@gmail.com,http://blueridgefencing.net,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Blue Water Fencing Club,BlueWaterFC,"Landmark Academy, 4800 Lapeer Road Kimball, MI 48074, US",Kimball - MI,MI,(810) 987-4232,warrenmarie@prodigy.net,,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Bluegrass Fencers' Club,BluegrassFC,"1993 Allegheny Way Lexington, KY 40513, US",Lexington - KY,KY,(859) 420-5803,amgadkhazbak@yahoo.com,http://www.bluegrassfencers.com,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
Bobcat Fencers Club,BobcatFC,"League City Intermediate School, 2588 Webster Street League City, TX 77573, US",League City - TX,TX,(281) 507-3564,john@trojanowski.com,https://texasfencing.wixsite.com/bobcatfencers,United States of America,USA Fencing,Cezar Pekelman,10/10/2021
